feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
feature,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
text,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
converstational,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,no
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
image,yes
